iter	Passed	Remaining
0	302	29944
1	507	24860
2	700	22639
3	907	21770
4	1095	20805
5	1268	19873
6	1462	19436
7	1629	18736
8	1816	18368
9	2020	18187
10	2207	17863
11	2401	17611
12	2618	17524
13	2823	17343
14	3009	17054
15	3196	16782
16	3380	16502
17	3559	16216
18	3736	15929
19	3951	15807
20	4041	15204
21	4136	14665
22	4243	14205
23	4330	13714
24	4426	13280
25	4531	12896
26	4617	12483
27	4712	12116
28	4822	11807
29	4944	11537
30	5036	11210
31	5148	10941
32	5243	10646
33	5345	10375
34	5452	10125
35	5545	9858
36	5634	9593
37	5721	9334
38	5806	9082
39	5906	8859
40	6015	8655
41	6112	8440
42	6212	8234
43	6317	8039
44	6403	7825
45	6505	7637
46	6604	7447
47	6701	7259
48	6788	7065
49	6888	6888
50	6994	6720
51	7087	6542
52	7189	6375
53	7291	6211
54	7377	6036
55	7469	5868
56	7562	5705
57	7652	5541
58	7737	5376
59	7830	5220
60	7924	5066
61	8050	4934
62	8143	4782
63	8235	4632
64	8329	4485
65	8419	4337
66	8515	4193
67	8603	4048
68	8699	3908
69	8791	3767
70	8882	3628
71	8980	3492
72	9089	3361
73	9188	3228
74	9290	3096
75	9388	2964
76	9483	2832
77	9585	2703
78	9681	2573
79	9768	2442
80	9859	2312
81	9955	2185
82	10065	2061
83	10170	1937
84	10258	1810
85	10358	1686
86	10452	1561
87	10555	1439
88	10653	1316
89	10746	1194
90	10839	1072
91	10930	950
92	11026	829
93	11140	711
94	11237	591
95	11334	472
96	11434	353
97	11532	235
98	11618	117
99	11707	0
